name,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_is_superhost2,host_identity_verified2,has_availability2,instant_bookable2,Borough
Skylit Midtown Castle,35%,18%,8.0,8.0,t,Midtown,40.75356,-73.98559,1,,1.0,$150.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,17,47,322,48,0,0,4.7,4.72,4.62,4.76,4.79,4.86,4.41,3,3,0,0,0.33,0,1,1,0,Manhattan
"Whole flr w/private bdrm, bath & kitchen(pls read)",21%,76%,1.0,1.0,t,Bedford-Stuyvesant,40.68494,-73.95765,3,1.0,3.0,$73.00 ,1,730,1.0,1.0,730.0,730.0,1.0,730.0,4,10,33,220,408,38,0,4.46,4.59,4.5,4.79,4.81,4.72,4.65,1,1,0,0,4.91,0,1,1,0,Brooklyn
BlissArtsSpace!,100%,100%,1.0,1.0,t,Bedford-Stuyvesant,40.68535,-73.95512,2,1.0,1.0,$60.00 ,30,730,30.0,30.0,730.0,730.0,30.0,730.0,30,60,90,365,50,0,0,4.52,4.22,4.09,4.91,4.91,4.47,4.52,2,0,2,0,0.53,0,1,1,0,Brooklyn
"Spacious Brooklyn Duplex, Patio + Garden",100%,25%,1.0,1.0,t,Sunset Park,40.66265,-73.99454,4,2.0,2.0,$275.00 ,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,0,2,3,91,2,1,0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,1,1,0,0,0.02,0,1,1,0,Brooklyn
Large Furnished Room Near B'way　,100%,100%,1.0,1.0,t,Midtown,40.76457,-73.98317,2,1.0,1.0,$68.00 ,2,14,2.0,2.0,14.0,14.0,2.0,14.0,4,4,26,218,505,31,4,4.21,4.2,3.73,4.66,4.41,4.87,4.35,1,0,1,0,3.7,0,0,1,0,Manhattan
"Lovely Room 1, Garden, Best Area, Legal rental",94%,100%,3.0,3.0,t,South Slope,40.66801,-73.98784,2,1.0,,$98.00 ,4,21,4.0,4.0,21.0,21.0,4.0,21.0,2,4,32,307,200,19,1,4.71,4.7,4.61,4.8,4.82,4.87,4.75,3,1,2,0,1.46,1,1,1,0,Brooklyn
Only 2 stops to Manhattan studio,100%,100%,1.0,1.0,t,Williamsburg,40.70935,-73.95342,3,,1.0,$89.00 ,30,730,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,28,197,181,1,0,4.56,4.59,4.86,4.84,4.8,4.67,4.57,1,1,0,0,1.25,0,1,1,1,Brooklyn
UES Beautiful Blue Room,100%,100%,3.0,3.0,t,East Harlem,40.78778,-73.94759,1,1.0,1.0,$62.00 ,30,700,30.0,30.0,1125.0,1125.0,30.0,1125.0,7,9,39,314,234,1,0,4.88,4.81,4.96,4.96,4.95,4.84,4.84,1,0,1,0,1.83,0,1,1,1,Manhattan
Perfect for Your Parents:  Privacy + Garden,100%,99%,1.0,1.0,t,Fort Greene,40.69121,-73.97277,4,1.0,2.0,$199.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,10,22,49,324,276,42,5,4.88,4.89,4.9,4.96,4.91,4.93,4.79,2,1,1,0,3.04,1,1,1,1,Brooklyn
Sweet and Spacious Brooklyn Loft,100%,67%,4.0,4.0,t,Williamsburg,40.71778,-73.9568,4,,2.0,$299.00 ,30,90,30.0,30.0,90.0,90.0,30.0,90.0,0,29,59,334,9,0,0,4.86,4.6,4.4,4.8,4.6,5.0,4.8,1,1,0,0,0.06,1,0,1,0,Brooklyn
"Maison des Sirenes1,bohemian, luminous apartment",100%,98%,2.0,2.0,t,Bedford-Stuyvesant,40.68462,-73.93839,5,1.0,4.0,$140.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,12,40,315,138,21,3,4.76,4.85,4.74,4.89,4.87,4.61,4.75,2,2,0,0,1.17,1,1,1,0,Brooklyn
Midtown Pied-a-terre,0%,,1.0,1.0,t,Hell's Kitchen,40.76724,-73.98664,2,,1.0,$175.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,0,58,0,0,4.52,4.68,4.16,4.97,5.0,4.95,4.58,1,1,0,0,0.56,0,1,1,0,Manhattan
Modern 1 BR / NYC / East Village,70%,59%,1.0,1.0,t,East Village,40.72712,-73.98598,2,1.0,1.0,$185.00 ,5,30,5.0,5.0,30.0,30.0,5.0,30.0,3,3,33,33,43,9,0,4.7,4.87,4.45,4.89,4.84,4.87,4.34,1,1,0,0,0.76,1,1,1,0,Manhattan
Large B&B Style rooms,100%,84%,0.0,0.0,t,Bedford-Stuyvesant,40.68294,-73.95682,3,1.0,2.0,$82.00 ,30,730,30.0,30.0,730.0,730.0,30.0,730.0,0,0,9,284,77,2,0,4.66,4.48,4.6,4.72,4.85,4.34,4.63,4,0,4,0,0.66,1,1,1,0,Brooklyn
"Lovely Room 2; Garden; Best area, Legal",94%,100%,3.0,3.0,t,South Slope,40.66692,-73.98981,2,1.0,,$98.00 ,4,21,4.0,5.0,21.0,21.0,4.0,21.0,8,30,50,325,194,13,1,4.74,4.76,4.61,4.85,4.78,4.88,4.75,3,1,2,0,2.14,1,1,1,0,Brooklyn
ENJOY Downtown NYC!,100%,75%,2.0,2.0,t,East Village,40.72296,-73.98383,2,1.0,1.0,$60.00 ,2,1125,2.0,6.0,1125.0,1125.0,2.1,1125.0,2,2,2,2,265,1,0,4.38,4.57,4.03,4.8,4.85,4.69,4.55,2,0,2,0,1.99,0,0,1,0,Manhattan
"1 Stop fr. Manhattan! Private Suite,Landmark Block",100%,94%,1.0,1.0,t,Long Island City,40.74757,-73.94571,4,1.0,2.0,$145.00 ,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,7,12,34,197,307,25,5,4.9,4.91,4.9,4.89,4.9,4.88,4.84,1,0,1,0,3.15,1,0,1,0,Queens
Charming Brownstone 3 - Near PRATT,100%,80%,4.0,4.0,t,Bedford-Stuyvesant,40.67946,-73.95417,2,1.0,1.0,$99.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,15,228,72,5,0,4.49,4.59,4.39,4.7,4.52,4.02,4.35,1,1,0,0,0.98,0,1,1,0,Brooklyn
(E) RIGHT ON BUDGET,90%,82%,5.0,5.0,t,Jamaica,40.67144,-73.76501,3,1.0,2.0,$75.00 ,2,365,2.0,2.0,365.0,365.0,2.0,365.0,30,60,90,365,70,5,0,4.14,4.33,4.68,4.38,4.26,3.59,4.2,5,0,5,0,0.81,0,1,1,0,Queens
Blue Room for 2 in Brownstone for $1350 monthly,100%,93%,3.0,3.0,t,Bedford-Stuyvesant,40.68064,-73.94039,2,1.0,1.0,$80.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,1,1,248,154,13,0,4.67,4.75,4.45,4.9,4.86,4.5,4.72,4,0,4,0,1.26,0,1,1,0,Brooklyn
* ORIGINAL BROOKLYN LOFT *,88%,78%,3.0,3.0,t,Williamsburg,40.70348,-73.93621,2,2.0,,$240.00 ,3,60,2.0,3.0,1125.0,1125.0,3.0,1125.0,9,27,56,136,119,18,2,4.75,4.82,4.58,4.7,4.6,4.76,4.74,1,1,0,0,2.17,0,1,1,0,Brooklyn
Greenpoint Place...Has It All!,100%,0%,2.0,2.0,t,Greenpoint,40.73535,-73.95584,2,1.0,2.0,$99.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,1,31,306,179,0,0,4.82,4.88,4.91,4.91,4.93,4.8,4.78,1,1,0,0,2.04,0,1,1,0,Brooklyn
Private Bliss Art Space 2,100%,100%,1.0,1.0,t,Bedford-Stuyvesant,40.68777,-73.94976,2,1.0,1.0,$70.00 ,60,730,60.0,60.0,730.0,730.0,60.0,730.0,28,58,88,363,59,1,1,4.55,4.37,3.91,4.85,4.77,4.15,4.45,2,0,2,0,0.56,0,1,1,0,Brooklyn
Best Location in NYC! TIMES SQUARE!,100%,98%,2.0,2.0,t,Hell's Kitchen,40.75611,-73.99523,1,1.0,1.0,$86.00 ,2,29,2.0,2.0,1125.0,1125.0,2.0,1125.0,5,12,34,290,342,17,3,4.63,4.77,4.74,4.81,4.78,4.88,4.68,2,0,2,0,2.74,1,1,1,0,Manhattan
"Bright 1bd Nolita Apt, Doorman, Elevator, Security",100%,100%,1.0,1.0,t,Nolita,40.72297,-73.99684,3,1.0,2.0,$159.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,26,56,146,26,0,0,4.56,4.69,4.46,5.0,4.81,4.69,4.46,1,1,0,0,0.66,1,1,1,0,Manhattan
"Very, very cozy place",100%,,1.0,1.0,t,Williamsburg,40.71211,-73.96397,1,1.0,1.0,$80.00 ,7,60,7.0,7.0,60.0,60.0,7.0,60.0,0,0,0,0,49,0,0,4.85,4.79,4.79,4.83,4.83,4.83,4.64,1,0,1,0,0.39,1,1,1,0,Brooklyn
Sunny & Spacious Chelsea Apartment,75%,10%,2.0,2.0,t,Chelsea,40.74493,-73.99521,4,2.0,2.0,$400.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,21,111,5,0,0,5.0,4.8,4.8,5.0,5.0,4.8,4.8,1,1,0,0,0.07,0,1,1,0,Manhattan
2 bedroom Upper East Side,70%,44%,4.0,4.0,t,Upper East Side,40.77119,-73.95241,6,2.0,4.0,$206.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,30,305,84,1,0,4.68,4.61,4.45,4.55,4.53,4.7,4.59,3,3,0,0,0.62,0,1,1,0,Manhattan
Comfortable 4-bedroom apt in family house.,75%,22%,2.0,2.0,t,Prospect Heights,40.67839,-73.96642,8,4.0,4.0,$140.00 ,30,730,30.0,30.0,730.0,730.0,30.0,730.0,9,9,16,134,153,2,0,4.93,4.95,4.93,4.98,4.98,4.85,4.89,1,1,0,0,1.25,1,1,1,0,Brooklyn
Double Room w Private Deck Clinton Hill Best Area,70%,9%,2.0,2.0,t,Clinton Hill,40.69121,-73.96804,2,1.0,2.0,$55.00 ,14,150,14.0,14.0,150.0,150.0,14.0,150.0,0,19,24,273,29,1,0,4.6,4.64,4.32,4.81,4.77,4.69,4.58,2,0,2,0,0.35,0,0,1,0,Brooklyn
"Sunny, Modern room in East Village!",100%,100%,2.0,2.0,t,East Village,40.72489,-73.9781,2,1.0,1.0,$94.00 ,1,1125,1.0,2.0,1125.0,1125.0,1.1,1125.0,1,11,41,100,426,12,0,4.78,4.82,4.75,4.79,4.76,4.72,4.68,1,0,1,0,4.97,1,1,1,0,Manhattan
Quiet Full Floor Loft with Home Theater,95%,73%,2.0,2.0,t,Williamsburg,40.7092,-73.96641,2,1.0,1.0,$461.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,19,49,79,354,209,27,2,4.73,4.88,4.75,4.92,4.92,4.71,4.47,1,1,0,0,1.57,0,1,1,0,Brooklyn
Large Room in Amazing East Village Apt,100%,66%,3.0,3.0,t,East Village,40.72281,-73.98501,1,1.0,1.0,$118.00 ,1,30,1.0,1.0,30.0,30.0,1.0,30.0,12,15,45,73,136,17,3,4.66,4.75,4.37,4.76,4.87,4.9,4.63,2,0,2,0,1.77,0,1,1,0,Manhattan
SpaHa Loft: Enormous and Bright,100%,95%,1.0,1.0,t,East Harlem,40.8019,-73.93762,8,4.0,6.0,$250.00 ,5,365,5.0,5.0,365.0,365.0,5.0,365.0,5,8,17,73,230,18,2,4.82,4.9,4.73,4.95,4.93,4.41,4.76,1,1,0,0,1.84,0,1,1,0,Manhattan
Lovely EV Artist's Home,100%,33%,1.0,1.0,t,East Village,40.72289,-73.98028,2,1.0,1.0,$220.00 ,30,90,30.0,30.0,90.0,90.0,30.0,90.0,27,57,87,177,53,0,0,4.8,4.74,4.9,4.98,4.98,4.56,4.55,1,1,0,0,0.47,0,1,1,0,Manhattan
"HARLEM, NYC,STILL WELCOMES YOU!! xx",100%,100%,2.0,2.0,t,Washington Heights,40.83253,-73.94108,2,1.0,1.0,$65.00 ,2,28,2.0,2.0,28.0,28.0,2.0,28.0,0,0,24,299,60,0,0,4.9,4.9,4.8,4.93,4.92,4.83,4.88,2,0,2,0,1.08,0,1,1,0,Manhattan
Manhattan Room,100%,,1.0,1.0,t,Upper East Side,40.76967,-73.94831,2,2.0,1.0,$60.00 ,30,30,30.0,30.0,30.0,30.0,30.0,30.0,5,35,65,340,148,0,0,4.41,4.38,4.26,4.82,4.76,4.71,4.47,1,0,1,0,1.35,1,1,1,0,Manhattan
Beautiful Meatpacking District Loft,100%,100%,1.0,1.0,t,Chelsea,40.74261,-74.00353,3,1.0,1.0,$175.00 ,4,150,1.0,4.0,1125.0,1125.0,4.0,1125.0,5,22,52,321,199,15,4,4.95,4.95,4.96,4.98,4.98,5.0,4.93,1,0,1,0,1.94,1,1,1,1,Manhattan
2 bedroom Williamsburg Apt - Bedford L stop,0%,0%,1.0,1.0,t,Williamsburg,40.71802,-73.95724,2,1.0,1.0,$105.00 ,30,90,30.0,30.0,90.0,90.0,30.0,90.0,7,10,40,315,61,0,0,4.49,4.65,3.53,4.65,4.68,4.98,4.41,1,1,0,0,0.62,0,1,1,0,Brooklyn
Sunny room+Pvte office in huge loft,0%,15%,1.0,1.0,t,Bushwick,40.69891,-73.93809,2,1.0,,$50.00 ,5,100,5.0,5.0,100.0,100.0,5.0,100.0,3,14,40,315,31,1,0,4.34,4.62,3.86,4.34,4.24,4.52,4.52,1,0,1,0,0.63,0,1,1,0,Brooklyn
Light-filled classic Central Park,30%,50%,1.0,1.0,t,Upper West Side,40.79936,-73.96155,2,1.0,,$88.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,24,27,292,85,3,0,4.69,4.79,4.57,4.93,4.91,4.76,4.76,1,0,1,0,1.32,0,1,1,0,Manhattan
COZY QUIET monthly room 4 DOOGLERS!,0%,0%,2.0,2.0,t,Chelsea,40.74187,-74.00223,2,1.0,1.0,$85.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,1,31,61,336,36,0,0,4.97,4.97,4.8,5.0,5.0,5.0,4.91,2,0,2,0,0.51,0,1,1,0,Manhattan
House On Henry (3rd FLR Suite),95%,47%,5.0,5.0,t,Carroll Gardens,40.67747,-74.00146,2,1.0,1.0,$180.00 ,3,45,2.0,7.0,45.0,45.0,3.2,45.0,14,44,74,349,272,13,2,4.7,4.84,4.87,4.84,4.73,4.65,4.68,3,3,0,0,2.8,0,1,1,0,Brooklyn
2000 SF 3br 2ba West Village outdoor living house,100%,89%,2.0,2.0,t,West Village,40.72961,-74.00308,4,3.0,3.0,$500.00 ,7,29,7.0,7.0,29.0,29.0,7.0,29.0,3,8,38,217,52,3,0,4.43,4.71,4.27,4.49,4.76,4.98,4.56,2,1,1,0,0.51,1,1,1,0,Manhattan
"1,800 sq foot in luxury building",100%,0%,1.0,1.0,t,Harlem,40.8104,-73.94309,2,1.0,1.0,$100.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,0,0,275,190,0,0,4.75,4.85,4.67,4.92,4.88,4.65,4.73,1,0,1,0,2.17,0,1,1,0,Manhattan
"Times Square, Safe, Clean and Cozy!",100%,98%,2.0,2.0,t,Hell's Kitchen,40.75603,-73.99294,1,1.0,1.0,$89.00 ,2,25,2.0,2.0,1125.0,1125.0,2.0,1125.0,4,19,33,274,412,38,3,4.53,4.62,4.69,4.84,4.82,4.84,4.64,2,0,2,0,3.64,1,1,1,0,Manhattan
Park Slope Green Guest House,100%,100%,2.0,2.0,t,South Slope,40.6686,-73.98723,3,1.0,1.0,$90.00 ,30,365,30.0,30.0,1125.0,1125.0,30.0,1125.0,1,1,2,144,476,5,0,4.93,4.95,4.96,4.98,4.98,4.89,4.91,2,2,0,0,4.09,1,1,1,1,Brooklyn
Comfortable UWS 2-BD Family-Friendly Brownstone,100%,,1.0,1.0,t,Upper West Side,40.77839,-73.97778,4,2.0,3.0,$225.00 ,30,30,30.0,30.0,30.0,30.0,30.0,30.0,0,15,15,222,28,0,0,4.6,4.47,4.47,4.8,4.87,4.87,4.4,1,1,0,0,0.37,0,1,1,0,Manhattan
Sugar Hill Rest Stop,100%,94%,1.0,1.0,t,Harlem,40.82682,-73.94948,6,1.0,1.0,$170.00 ,2,20,2.0,2.0,20.0,20.0,2.0,20.0,8,19,49,324,215,7,0,4.76,4.76,4.87,4.91,4.89,4.64,4.71,1,1,0,0,1.76,1,1,1,0,Manhattan
East Village Sanctuary,100%,,1.0,1.0,t,East Village,40.72421,-73.98509,3,,2.0,$100.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,0,0,25,0,0,4.85,4.63,4.79,5.0,4.89,4.79,4.74,1,1,0,0,0.2,0,1,1,0,Manhattan
2BR in a 3BR Bklyn apt. nxt  2 Q Trn. Mth-Mth only,67%,0%,1.0,1.0,t,Prospect-Lefferts Gardens,40.6545,-73.96071,2,2.0,,$75.00 ,2,1095,2.0,2.0,1095.0,1095.0,2.0,1095.0,0,0,24,299,9,0,0,4.14,4.17,3.83,4.33,4.33,4.67,4.17,1,0,1,0,0.06,0,1,1,0,Brooklyn
B & B Room 1,100%,84%,0.0,0.0,t,Bedford-Stuyvesant,40.68288,-73.95646,2,1.0,1.0,$80.00 ,30,730,30.0,30.0,730.0,730.0,30.0,730.0,10,20,20,222,68,4,1,4.68,4.32,4.56,4.76,4.67,4.37,4.51,4,0,4,0,0.59,1,1,1,0,Brooklyn
"Comfortable, Sunny Room",100%,97%,1.0,1.0,t,Clinton Hill,40.68292,-73.96381,2,1.0,1.0,$89.00 ,3,90,3.0,3.0,90.0,90.0,3.0,90.0,0,10,40,303,292,10,2,4.92,4.92,4.94,4.98,4.98,4.83,4.9,1,0,1,0,2.54,1,1,1,0,Brooklyn
Stylish Apartment with office space Near SoHo!,80%,44%,1.0,1.0,t,Lower East Side,40.72314,-73.99108,3,1.0,1.0,$185.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,10,35,310,117,8,1,4.76,4.85,4.83,4.82,4.92,4.89,4.62,2,1,1,0,1.15,0,1,1,0,Manhattan
Most Central Location!,100%,80%,3.0,3.0,t,Hell's Kitchen,40.7672,-73.98464,1,1.0,1.0,$141.00 ,28,360,28.0,30.0,90.0,360.0,28.5,292.3,7,37,67,342,68,2,0,4.87,4.83,4.9,4.95,4.95,5.0,4.83,4,1,3,0,1.93,1,1,1,0,Manhattan
Sanctuary in East Flatbush,0%,,1.0,1.0,t,East Flatbush,40.6327,-73.93184,2,3.0,1.0,$80.00 ,30,90,30.0,30.0,90.0,90.0,30.0,90.0,28,58,88,178,4,0,0,4.33,4.0,4.0,4.33,4.33,4.33,4.33,1,0,1,0,0.03,0,1,1,0,Brooklyn
Room with En Suite Bathroom & Deck,100%,98%,3.0,3.0,t,Clinton Hill,40.68818,-73.96383,2,1.0,1.0,$91.00 ,2,365,2.0,2.0,1125.0,1125.0,2.0,1125.0,6,25,55,330,493,24,1,4.48,4.65,4.4,4.73,4.73,4.72,4.57,2,0,2,0,5.06,0,1,1,1,Brooklyn
Huge Private  Floor at The Waverly,100%,57%,4.0,4.0,t,Clinton Hill,40.68513,-73.96648,3,1.0,2.0,$139.00 ,30,730,30.0,30.0,730.0,730.0,30.0,730.0,21,51,81,356,92,0,0,4.84,4.76,4.85,4.92,4.97,4.83,4.72,1,0,1,0,1.07,0,1,1,0,Brooklyn
Fully Furnished Beautiful 1 Bedroom,100%,25%,1.0,1.0,t,East Village,40.72741,-73.98405,1,1.0,1.0,$160.00 ,14,30,14.0,14.0,30.0,30.0,14.0,30.0,0,1,31,306,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.04,0,0,1,0,Manhattan
Retreat in Williamsburg,100%,76%,1.0,1.0,t,Williamsburg,40.71512,-73.95899,2,1.0,1.0,$195.00 ,4,60,4.0,4.0,60.0,60.0,4.0,60.0,8,13,43,290,273,19,3,4.95,4.96,4.98,4.98,4.98,4.96,4.9,1,1,0,0,2.84,1,1,1,0,Brooklyn
NYC Zen,0%,0%,2.0,2.0,t,East Village,40.72367,-73.98139,3,2.0,2.0,$125.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,4,6,11,175,34,0,0,4.41,4.24,4.45,4.41,4.34,4.66,4.59,1,1,0,0,0.33,0,1,1,0,Manhattan
Great location. Spacious 2BR near PROSPECT PARK,0%,0%,1.0,1.0,t,Prospect Heights,40.67447,-73.96619,4,2.0,4.0,$121.00 ,30,60,30.0,30.0,60.0,60.0,30.0,60.0,3,33,63,338,4,0,0,3.5,4.0,4.0,3.67,4.67,3.67,3.33,1,1,0,0,0.05,0,1,1,0,Brooklyn
Luxury Brownstone in Boerum Hill,90%,59%,1.0,1.0,t,Boerum Hill,40.68442,-73.98068,13,5.0,5.0,$675.00 ,3,60,3.0,3.0,60.0,60.0,3.0,60.0,13,27,39,236,28,5,1,4.65,4.79,4.56,4.83,4.8,4.88,4.64,1,1,0,0,0.27,0,1,1,0,Brooklyn
“Work-from-home” from OUR home.,100%,95%,2.0,2.0,t,Williamsburg,40.70978,-73.95165,2,1.0,1.0,$65.00 ,7,45,7.0,7.0,1125.0,1125.0,7.0,1125.0,3,6,22,22,233,12,0,4.8,4.81,4.58,4.93,4.87,4.85,4.76,1,0,1,0,2.36,0,1,1,0,Brooklyn
A room of own with a Manhattan view,100%,33%,1.0,1.0,t,Sunnyside,40.74523,-73.92318,1,1.0,1.0,$78.00 ,90,90,90.0,90.0,90.0,90.0,90.0,90.0,0,0,28,303,29,0,0,4.91,4.86,4.91,4.95,4.95,4.73,4.91,1,0,1,0,0.24,0,1,1,0,Queens
Beautiful Lower East Side Loft,75%,36%,1.0,1.0,t,Lower East Side,40.71992,-73.99167,4,2.0,2.0,$500.00 ,5,30,5.0,7.0,30.0,30.0,5.2,30.0,5,14,33,297,63,6,0,4.76,4.64,4.67,4.83,4.83,4.6,4.56,1,1,0,0,0.58,0,0,1,0,Manhattan
House On Henry (2nd FLR Suite),95%,47%,5.0,5.0,t,Carroll Gardens,40.67813,-74.00062,2,1.0,1.0,$179.00 ,4,45,3.0,7.0,45.0,45.0,4.1,45.0,12,35,65,336,171,2,0,4.6,4.76,4.77,4.72,4.69,4.54,4.6,3,3,0,0,1.64,0,1,1,0,Brooklyn
New York room with a view,100%,50%,1.0,1.0,t,St. George,40.64633,-74.08156,2,1.0,1.0,$70.00 ,2,730,2.0,2.0,730.0,730.0,2.0,730.0,0,2,32,297,176,0,0,4.8,4.82,4.45,4.94,4.92,4.52,4.75,1,0,1,0,1.72,1,1,1,0,Staten Island
"Apartment in Tribeca, NYC Panoramic VIEWS~",100%,93%,2.0,2.0,t,Tribeca,40.721,-74.00971,6,1.0,5.0,$250.00 ,30,90,30.0,30.0,90.0,90.0,30.0,90.0,0,1,31,304,13,1,0,4.85,4.85,4.62,5.0,5.0,5.0,4.77,1,1,0,0,0.58,0,1,1,0,Manhattan
Room with a View,86%,54%,3.0,3.0,t,Highbridge,40.83225,-73.93092,1,1.0,1.0,$45.00 ,1,21,1.0,1.0,21.0,21.0,1.0,21.0,9,30,60,150,288,11,2,4.89,4.95,4.84,4.96,4.98,4.53,4.89,3,0,3,0,2.28,1,1,1,0,Bronx
BROOKLYN VICTORIAN STYLE SUITE.....,0%,0%,2.0,2.0,t,Fort Greene,40.69287,-73.97108,2,1.0,1.0,$110.00 ,30,30,30.0,30.0,30.0,30.0,30.0,30.0,30,60,90,365,231,0,0,4.69,4.85,4.82,4.83,4.72,4.83,4.72,2,0,2,0,2.67,0,1,1,0,Brooklyn
Private studio in West Village on quite street,43%,3%,3.0,3.0,t,West Village,40.73737,-74.00437,2,1.0,1.0,$146.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,0,2,88,1,0,4.75,4.74,4.68,4.89,4.94,4.98,4.65,1,1,0,0,0.87,0,1,1,0,Manhattan
Creative South Williamsburg Studio,100%,90%,1.0,1.0,t,Williamsburg,40.70894,-73.95234,2,,,$98.00 ,30,180,30.0,30.0,180.0,180.0,30.0,180.0,2,2,2,123,123,2,0,4.63,4.83,4.71,4.86,4.93,4.53,4.69,1,1,0,0,1.07,0,1,1,0,Brooklyn
"Fort Greene, Brooklyn: Center Bedroom",100%,100%,3.0,3.0,t,Fort Greene,40.68834,-73.97578,2,1.0,1.0,$65.00 ,2,31,2.0,2.0,31.0,31.0,2.0,31.0,0,14,42,132,292,40,5,4.89,4.94,4.91,4.95,4.99,4.97,4.83,2,0,2,0,3.41,1,1,1,1,Brooklyn
Beautiful Queens Brownstone! - 5BR,100%,36%,5.0,5.0,t,Ridgewood,40.70309,-73.89963,16,5.0,10.0,$395.00 ,30,730,30.0,30.0,730.0,730.0,30.0,730.0,30,60,90,365,13,0,0,4.42,4.64,4.36,4.82,5.0,4.82,4.55,6,5,1,0,0.53,1,1,1,0,Queens
Couldn't Be Closer To Columbia Uni,56%,25%,0.0,0.0,t,Morningside Heights,40.8063,-73.95985,2,1.0,,$75.00 ,31,730,31.0,31.0,730.0,730.0,31.0,730.0,6,36,66,341,131,2,0,4.65,4.6,4.49,4.86,4.87,4.88,4.61,1,0,1,0,1.08,0,1,1,0,Manhattan
Park Slope haven 15 mins from Soho,100%,0%,1.0,1.0,t,Park Slope,40.67979,-73.97978,2,1.0,1.0,$150.00 ,30,200,30.0,30.0,200.0,200.0,30.0,200.0,15,19,19,145,58,0,0,4.7,4.8,4.35,4.84,4.94,4.88,4.69,1,1,0,0,0.56,0,1,1,0,Brooklyn
Large Room in private Brownstone in Park Slope,100%,100%,0.0,0.0,t,Prospect Heights,40.68022,-73.97457,2,1.0,,$150.00 ,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,0,0,0,257,58,7,1,4.69,4.77,4.62,4.79,4.83,4.77,4.61,3,0,3,0,0.54,0,1,1,0,Brooklyn
"BIG, COMFY ROOM W/YARD IN WILL-B",100%,31%,2.0,2.0,t,Williamsburg,40.7124,-73.94764,1,1.0,1.0,$81.00 ,30,90,30.0,30.0,90.0,90.0,30.0,90.0,4,34,64,339,28,0,0,4.76,4.75,4.75,4.75,4.83,4.5,4.67,2,0,2,0,0.21,1,1,1,0,Brooklyn
B and B Style Rooms for Rent w bath,100%,84%,0.0,0.0,t,Bedford-Stuyvesant,40.6829,-73.95701,3,1.0,2.0,$90.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,30,211,21,1,0,4.3,4.15,4.05,4.0,4.15,4.2,4.15,4,0,4,0,0.25,1,1,1,0,Brooklyn
"Lovely Apt & Garden;  Legal; Amenities, Spotless",94%,100%,3.0,3.0,t,Gowanus,40.66913,-73.99041,4,1.0,2.0,$151.00 ,4,180,3.0,4.0,180.0,180.0,4.0,180.0,4,6,35,310,198,23,2,4.83,4.72,4.78,4.91,4.91,4.88,4.81,3,1,2,0,1.84,1,1,1,0,Brooklyn
( F) Excellent/Pvt Rm,90%,82%,5.0,5.0,t,Jamaica,40.67144,-73.76501,2,1.0,1.0,$65.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,30,60,90,365,53,0,0,4.42,4.47,4.7,4.5,4.48,3.88,4.38,5,0,5,0,0.39,0,1,1,0,Queens
