name,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_is_superhost2,host_identity_verified2,has_availability2,instant_bookable2,Borough
Cozy SI den with multiple with easy access to NYC,0%,80%,1.0,1.0,t,Port Richmond,40.63241,-74.13834,2,1.0,2.0,$39.00 ,2,90,2.0,2.0,90.0,90.0,2.0,90.0,0,0,0,121,24,7,0,4.67,4.79,4.42,4.75,4.92,4.5,4.67,1,1,0,0,0.6,0,1,1,0,Staten Island
◈Hidden Midtown Gem◈ Perfect 5-Star Stay!,100%,92%,1.0,1.0,t,Kips Bay,40.74513,-73.97754,2,1.0,1.0,$370.00 ,1,90,1.0,1.0,1125.0,1125.0,1.0,1125.0,12,16,46,221,127,19,4,4.91,4.96,4.94,4.91,4.97,4.94,4.77,1,1,0,0,4.44,1,1,1,0,Manhattan
Hotel 31 Double Room Shared Bathroom,100%,100%,4.0,4.0,t,Kips Bay,40.74415,-73.98099,2,1.0,1.0,$119.00 ,1,28,1.0,1.0,28.0,28.0,1.0,28.0,16,29,59,333,16,16,1,4.56,4.38,4.38,4.94,4.69,4.94,4.38,10,0,10,0,16.0,0,1,1,1,Manhattan
Private Bedroom. Jungle Apartment,100%,90%,3.0,3.0,t,Ridgewood,40.70065,-73.90352,2,1.0,1.0,$80.00 ,2,10,2.0,2.0,10.0,10.0,2.0,10.0,9,39,69,69,24,17,2,4.87,4.87,4.74,4.91,4.96,4.91,4.87,2,1,1,0,0.56,0,1,1,0,Queens
Artist Studio Apartment,100%,90%,3.0,3.0,t,Ridgewood,40.70227,-73.90411,2,1.0,1.0,$161.00 ,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,13,43,73,163,36,10,1,4.65,4.59,4.68,4.94,4.97,4.68,4.5,2,1,1,0,1.17,0,1,1,0,Queens
fifth ave,0%,,1.0,1.0,t,Midtown,40.75707,-73.98038,3,1.0,1.0,$350.00 ,30,50,30.0,30.0,50.0,50.0,30.0,50.0,29,59,89,89,19,0,0,4.89,4.89,4.83,4.94,4.94,4.89,4.67,1,1,0,0,0.45,0,0,1,0,Manhattan
Williamsburg Apt. Panoramic View/Private Rooftop,100%,95%,1.0,1.0,t,Williamsburg,40.71623,-73.94067,4,1.0,1.0,$200.00 ,5,60,5.0,5.0,1125.0,1125.0,5.0,1125.0,4,8,34,124,53,8,2,4.77,4.9,4.87,4.96,4.96,4.81,4.63,1,1,0,0,1.26,1,1,1,1,Brooklyn
"Cozy NY Apartment in Brooklyn II, close to Subways",93%,83%,10.0,10.0,t,Cypress Hills,40.67617,-73.89339,4,1.0,4.0,$85.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,10,10,38,313,91,21,5,4.74,4.9,4.85,4.86,4.92,4.53,4.76,3,2,1,0,2.24,1,1,1,1,Brooklyn
Brooklyn Oasis Private Suite,0%,67%,9.0,9.0,t,Bay Ridge,40.63276,-74.03097,3,1.0,2.0,$71.00 ,30,90,30.0,30.0,90.0,90.0,30.0,90.0,30,60,90,364,7,0,0,5.0,5.0,4.86,5.0,5.0,5.0,5.0,6,2,4,0,0.18,0,1,1,0,Brooklyn
Beautifully designed + renovated 3 bedroom home,100%,90%,2.0,2.0,t,Kensington,40.64612,-73.97119,5,3.0,3.0,$300.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,16,18,71,22,1,4.97,4.97,5.0,4.99,5.0,4.87,4.96,1,1,0,0,2.02,1,1,1,0,Brooklyn
SINGLE SHARED BATHROOM,96%,99%,16.0,16.0,t,Gramercy,40.73559,-73.9835,1,1.0,1.0,$55.00 ,30,60,30.0,30.0,60.0,60.0,30.0,60.0,25,55,85,360,2,0,0,3.0,2.0,3.0,4.0,3.0,5.0,3.0,9,0,9,0,0.06,0,0,1,1,Manhattan
Navy Yard Oasis,100%,100%,0.0,0.0,t,Fort Greene,40.69553,-73.97373,2,1.0,4.0,$151.00 ,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0,6,14,44,134,34,19,1,4.76,4.85,4.56,4.88,4.88,4.74,4.74,1,1,0,0,1.3,1,1,1,0,Brooklyn
Inexpensive Private Room with NYC / SIUH/ Ka02/02,100%,98%,6.0,6.0,t,Concord,40.59807,-74.08416,1,1.0,1.0,$39.00 ,4,28,6.0,6.0,1125.0,1125.0,6.0,1125.0,13,43,73,162,15,7,1,4.8,4.87,4.73,5.0,5.0,4.73,4.93,5,0,5,0,3.06,0,1,1,0,Staten Island
"Enjoy Cozy, Quiet, Safe & Convenient Living in NYC",88%,91%,1.0,1.0,t,Bensonhurst,40.61334,-73.98714,5,2.0,3.0,$110.00 ,30,180,30.0,30.0,1125.0,1125.0,30.0,1125.0,23,53,83,358,13,3,0,4.85,4.85,4.92,5.0,4.92,4.69,4.69,2,2,0,0,0.31,1,0,1,1,Brooklyn
Corporate Studio Midtown East,98%,85%,101.0,101.0,t,Midtown,40.75394,-73.96534,2,,1.0,$125.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,18,48,323,11,2,0,4.82,4.82,4.36,4.55,4.73,4.82,4.27,101,101,0,0,0.39,0,1,1,0,Manhattan
Turtle Bay's Modern Flat  Elevator & Laundry,98%,85%,101.0,101.0,t,Midtown,40.75446,-73.96535,3,1.0,1.0,$133.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,6,9,10,12,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,101,101,0,0,0.05,0,1,1,0,Manhattan
Brand New apt heart of Manhattan,98%,85%,101.0,101.0,t,Midtown,40.74636,-73.98014,2,,1.0,$117.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,3,33,63,338,12,4,1,5.0,5.0,4.83,4.92,5.0,4.92,4.67,101,101,0,0,0.29,0,1,1,0,Manhattan
Brand New Executive Studio,98%,85%,101.0,101.0,t,Midtown,40.74618,-73.98083,2,,,$117.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,2,32,307,9,1,0,4.67,5.0,4.78,4.78,4.56,5.0,4.78,101,101,0,0,0.28,0,1,1,0,Manhattan
