host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_is_superhost2,host_identity_verified2,has_availability2,instant_bookable2,dmy_Hotel room,dmy_Private room,dmy_Shared room,Borough
100%,80%,4.0,4.0,t,Bedford-Stuyvesant,40.67946,-73.95417,2,1.0,1.0,$99.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,15,228,72,5,0,4.49,4.59,4.39,4.7,4.52,4.02,4.35,1,1,0,0,0.98,0,1,1,0,0,0,0,Brooklyn
90%,82%,5.0,5.0,t,Jamaica,40.67144,-73.76501,3,1.0,2.0,$75.00 ,2,365,2.0,2.0,365.0,365.0,2.0,365.0,30,60,90,365,70,5,0,4.14,4.33,4.68,4.38,4.26,3.59,4.2,5,0,5,0,0.81,0,1,1,0,0,1,0,Queens
100%,93%,3.0,3.0,t,Bedford-Stuyvesant,40.68064,-73.94039,2,1.0,1.0,$80.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,1,1,248,154,13,0,4.67,4.75,4.45,4.9,4.86,4.5,4.72,4,0,4,0,1.26,0,1,1,0,0,1,0,Brooklyn
88%,78%,3.0,3.0,t,Williamsburg,40.70348,-73.93621,2,2.0,,$240.00 ,3,60,2.0,3.0,1125.0,1125.0,3.0,1125.0,9,27,56,136,119,18,2,4.75,4.82,4.58,4.7,4.6,4.76,4.74,1,1,0,0,2.17,0,1,1,0,0,0,0,Brooklyn
100%,0%,2.0,2.0,t,Greenpoint,40.73535,-73.95584,2,1.0,2.0,$99.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,1,31,306,179,0,0,4.82,4.88,4.91,4.91,4.93,4.8,4.78,1,1,0,0,2.04,0,1,1,0,0,0,0,Brooklyn
100%,100%,1.0,1.0,t,Bedford-Stuyvesant,40.68777,-73.94976,2,1.0,1.0,$70.00 ,60,730,60.0,60.0,730.0,730.0,60.0,730.0,28,58,88,363,59,1,1,4.55,4.37,3.91,4.85,4.77,4.15,4.45,2,0,2,0,0.56,0,1,1,0,0,1,0,Brooklyn
100%,98%,2.0,2.0,t,Hell's Kitchen,40.75611,-73.99523,1,1.0,1.0,$86.00 ,2,29,2.0,2.0,1125.0,1125.0,2.0,1125.0,5,12,34,290,342,17,3,4.63,4.77,4.74,4.81,4.78,4.88,4.68,2,0,2,0,2.74,1,1,1,0,0,1,0,Manhattan
100%,100%,1.0,1.0,t,Nolita,40.72297,-73.99684,3,1.0,2.0,$159.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,26,56,146,26,0,0,4.56,4.69,4.46,5.0,4.81,4.69,4.46,1,1,0,0,0.66,1,1,1,0,0,0,0,Manhattan
100%,,1.0,1.0,t,Williamsburg,40.71211,-73.96397,1,1.0,1.0,$80.00 ,7,60,7.0,7.0,60.0,60.0,7.0,60.0,0,0,0,0,49,0,0,4.85,4.79,4.79,4.83,4.83,4.83,4.64,1,0,1,0,0.39,1,1,1,0,0,1,0,Brooklyn
75%,10%,2.0,2.0,t,Chelsea,40.74493,-73.99521,4,2.0,2.0,$400.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,21,111,5,0,0,5.0,4.8,4.8,5.0,5.0,4.8,4.8,1,1,0,0,0.07,0,1,1,0,0,0,0,Manhattan
70%,44%,4.0,4.0,t,Upper East Side,40.77119,-73.95241,6,2.0,4.0,$206.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,30,305,84,1,0,4.68,4.61,4.45,4.55,4.53,4.7,4.59,3,3,0,0,0.62,0,1,1,0,0,0,0,Manhattan
75%,22%,2.0,2.0,t,Prospect Heights,40.67839,-73.96642,8,4.0,4.0,$140.00 ,30,730,30.0,30.0,730.0,730.0,30.0,730.0,9,9,16,134,153,2,0,4.93,4.95,4.93,4.98,4.98,4.85,4.89,1,1,0,0,1.25,1,1,1,0,0,0,0,Brooklyn
70%,9%,2.0,2.0,t,Clinton Hill,40.69121,-73.96804,2,1.0,2.0,$55.00 ,14,150,14.0,14.0,150.0,150.0,14.0,150.0,0,19,24,273,29,1,0,4.6,4.64,4.32,4.81,4.77,4.69,4.58,2,0,2,0,0.35,0,0,1,0,0,1,0,Brooklyn
100%,100%,2.0,2.0,t,East Village,40.72489,-73.9781,2,1.0,1.0,$94.00 ,1,1125,1.0,2.0,1125.0,1125.0,1.1,1125.0,1,11,41,100,426,12,0,4.78,4.82,4.75,4.79,4.76,4.72,4.68,1,0,1,0,4.97,1,1,1,0,0,1,0,Manhattan
95%,73%,2.0,2.0,t,Williamsburg,40.7092,-73.96641,2,1.0,1.0,$461.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,19,49,79,354,209,27,2,4.73,4.88,4.75,4.92,4.92,4.71,4.47,1,1,0,0,1.57,0,1,1,0,0,0,0,Brooklyn
100%,66%,3.0,3.0,t,East Village,40.72281,-73.98501,1,1.0,1.0,$118.00 ,1,30,1.0,1.0,30.0,30.0,1.0,30.0,12,15,45,73,136,17,3,4.66,4.75,4.37,4.76,4.87,4.9,4.63,2,0,2,0,1.77,0,1,1,0,0,1,0,Manhattan
100%,95%,1.0,1.0,t,East Harlem,40.8019,-73.93762,8,4.0,6.0,$250.00 ,5,365,5.0,5.0,365.0,365.0,5.0,365.0,5,8,17,73,230,18,2,4.82,4.9,4.73,4.95,4.93,4.41,4.76,1,1,0,0,1.84,0,1,1,0,0,0,0,Manhattan
100%,33%,1.0,1.0,t,East Village,40.72289,-73.98028,2,1.0,1.0,$220.00 ,30,90,30.0,30.0,90.0,90.0,30.0,90.0,27,57,87,177,53,0,0,4.8,4.74,4.9,4.98,4.98,4.56,4.55,1,1,0,0,0.47,0,1,1,0,0,0,0,Manhattan
100%,100%,2.0,2.0,t,Washington Heights,40.83253,-73.94108,2,1.0,1.0,$65.00 ,2,28,2.0,2.0,28.0,28.0,2.0,28.0,0,0,24,299,60,0,0,4.9,4.9,4.8,4.93,4.92,4.83,4.88,2,0,2,0,1.08,0,1,1,0,0,1,0,Manhattan
100%,,1.0,1.0,t,Upper East Side,40.76967,-73.94831,2,2.0,1.0,$60.00 ,30,30,30.0,30.0,30.0,30.0,30.0,30.0,5,35,65,340,148,0,0,4.41,4.38,4.26,4.82,4.76,4.71,4.47,1,0,1,0,1.35,1,1,1,0,0,1,0,Manhattan
100%,100%,1.0,1.0,t,Chelsea,40.74261,-74.00353,3,1.0,1.0,$175.00 ,4,150,1.0,4.0,1125.0,1125.0,4.0,1125.0,5,22,52,321,199,15,4,4.95,4.95,4.96,4.98,4.98,5.0,4.93,1,0,1,0,1.94,1,1,1,1,0,1,0,Manhattan
0%,0%,1.0,1.0,t,Williamsburg,40.71802,-73.95724,2,1.0,1.0,$105.00 ,30,90,30.0,30.0,90.0,90.0,30.0,90.0,7,10,40,315,61,0,0,4.49,4.65,3.53,4.65,4.68,4.98,4.41,1,1,0,0,0.62,0,1,1,0,0,0,0,Brooklyn
0%,15%,1.0,1.0,t,Bushwick,40.69891,-73.93809,2,1.0,,$50.00 ,5,100,5.0,5.0,100.0,100.0,5.0,100.0,3,14,40,315,31,1,0,4.34,4.62,3.86,4.34,4.24,4.52,4.52,1,0,1,0,0.63,0,1,1,0,0,1,0,Brooklyn
30%,50%,1.0,1.0,t,Upper West Side,40.79936,-73.96155,2,1.0,,$88.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,24,27,292,85,3,0,4.69,4.79,4.57,4.93,4.91,4.76,4.76,1,0,1,0,1.32,0,1,1,0,0,1,0,Manhattan
