host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_is_superhost2,host_identity_verified2,has_availability2,instant_bookable2,dmy_Hotel room,dmy_Private room,dmy_Shared room,Borough
81%,100%,3.0,3.0,t,Upper West Side,40.7962,-73.96334,2,1.0,1.0,$34.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,0,15,277,183,21,0,4.54,4.67,4.34,4.64,4.8,4.8,4.59,3,0,1,2,2.39,0,1,1,1,0,0,1,Manhattan
100%,43%,1.0,1.0,t,Williamsburg,40.70741,-73.94336,2,,1.0,$145.00 ,2,15,2.0,7.0,15.0,40.0,2.5,17.3,0,5,25,25,20,1,0,4.67,4.83,4.61,4.78,4.89,4.67,4.78,1,1,0,0,0.25,0,1,1,0,0,0,0,Brooklyn
50%,,1.0,1.0,t,Williamsburg,40.70586,-73.94931,2,1.0,1.0,$150.00 ,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,20,50,80,355,3,0,0,5.0,4.67,4.33,5.0,5.0,4.67,4.67,1,0,1,0,0.07,0,1,1,0,0,1,0,Brooklyn
75%,0%,1.0,1.0,t,Red Hook,40.67612,-74.00676,2,1.0,1.0,$98.00 ,30,35,30.0,30.0,35.0,35.0,30.0,35.0,29,59,89,89,64,0,0,4.92,4.9,4.84,4.9,4.89,4.62,4.8,1,0,1,0,1.02,0,1,1,0,0,1,0,Brooklyn
0%,,0.0,0.0,t,Hell's Kitchen,40.76401,-73.9886,3,1.0,1.0,$200.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,29,59,89,179,5,0,0,4.75,5.0,4.0,5.0,5.0,5.0,4.75,1,0,1,0,0.08,0,1,1,0,0,1,0,Manhattan
75%,29%,1.0,1.0,t,Inwood,40.8695,-73.92522,2,1.0,1.0,$144.00 ,30,150,30.0,30.0,150.0,150.0,30.0,150.0,0,17,47,47,7,1,0,4.86,4.86,4.86,5.0,5.0,4.57,4.71,1,1,0,0,0.1,0,1,1,0,0,0,0,Manhattan
100%,53%,9.0,9.0,t,Stuyvesant Town,40.73018,-73.97963,2,,,$110.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,0,275,8,0,0,4.5,4.43,4.13,5.0,5.0,4.86,3.86,10,10,0,0,0.11,1,1,1,0,0,0,0,Manhattan
100%,86%,1.0,1.0,t,Upper West Side,40.79671,-73.96225,6,3.0,4.0,$287.00 ,30,1124,30.0,30.0,1124.0,1124.0,30.0,1124.0,30,60,90,210,21,5,1,5.0,5.0,4.75,4.95,5.0,4.95,4.75,1,1,0,0,0.61,1,1,1,0,0,0,0,Manhattan
100%,33%,1.0,1.0,t,Upper West Side,40.78864,-73.9677,1,1.0,1.0,$100.00 ,30,60,30.0,30.0,60.0,60.0,30.0,60.0,5,14,44,44,173,0,0,4.83,4.86,4.67,4.93,4.96,4.94,4.79,1,0,1,0,2.77,0,0,1,0,0,1,0,Manhattan
75%,93%,1.0,1.0,t,South Slope,40.65998,-73.9861,4,1.0,3.0,$130.00 ,7,365,7.0,7.0,365.0,365.0,7.0,365.0,0,0,0,3,82,4,0,4.84,4.88,4.83,4.98,4.94,4.81,4.72,1,1,0,0,1.1,1,1,1,0,0,0,0,Brooklyn
0%,0%,1.0,1.0,t,Bushwick,40.70718,-73.92169,2,1.0,2.0,$60.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,1,31,306,4,0,0,3.33,4.0,3.0,5.0,4.0,5.0,4.0,1,1,0,0,0.07,0,1,1,0,0,0,0,Brooklyn
100%,75%,1.0,1.0,t,Harlem,40.80278,-73.95583,2,1.0,1.0,$100.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,26,27,57,147,19,3,1,5.0,4.89,5.0,5.0,4.89,4.84,4.89,1,0,1,0,0.24,0,1,1,0,0,1,0,Manhattan
100%,100%,1.0,1.0,t,Greenpoint,40.73059,-73.95257,4,2.0,2.0,$120.00 ,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,0,8,25,145,4,3,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.12,0,1,1,0,0,0,0,Brooklyn
100%,52%,1.0,1.0,t,Williamsburg,40.70829,-73.94852,3,1.0,1.0,$700.00 ,3,14,3.0,3.0,14.0,14.0,3.0,14.0,2,32,62,90,33,20,0,4.76,4.82,4.64,4.97,4.97,4.94,4.84,1,1,0,0,0.42,1,1,1,0,0,0,0,Brooklyn
100%,93%,3.0,3.0,t,Inwood,40.86694,-73.92793,1,2.0,2.0,$106.00 ,31,180,31.0,31.0,180.0,180.0,31.0,180.0,16,46,76,351,8,0,0,4.88,5.0,5.0,5.0,5.0,4.63,4.75,2,1,1,0,0.11,1,1,1,0,0,1,0,Manhattan
100%,86%,1.0,1.0,t,Chelsea,40.74085,-74.00339,2,,2.0,$179.00 ,4,120,4.0,4.0,120.0,120.0,4.0,120.0,8,25,55,330,61,10,1,4.58,4.8,4.51,4.9,4.86,4.95,4.59,1,1,0,0,0.83,0,1,1,0,0,0,0,Manhattan
100%,87%,2.0,2.0,t,Greenwich Village,40.73053,-74.00097,2,1.0,1.0,$250.00 ,30,1000,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,25,25,244,42,7,1,4.73,4.73,4.61,4.73,4.93,5.0,4.71,2,2,0,0,0.55,1,1,1,0,0,0,0,Manhattan
100%,68%,1.0,1.0,t,Greenwich Village,40.73382,-73.99683,1,1.0,1.0,$135.00 ,10,70,6.0,10.0,70.0,70.0,9.9,70.0,7,15,43,318,34,7,1,4.91,4.94,4.65,4.91,5.0,5.0,4.79,1,0,1,0,1.32,1,1,1,0,0,1,0,Manhattan
80%,72%,3.0,3.0,t,Sunset Park,40.64299,-74.01858,1,1.0,1.0,$46.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,7,29,304,14,2,0,4.85,5.0,4.77,5.0,4.77,4.83,4.92,2,0,2,0,0.17,0,1,1,0,0,1,0,Brooklyn
0%,,1.0,1.0,t,Sunnyside,40.74384,-73.92114,1,1.0,1.0,$50.00 ,30,60,30.0,30.0,60.0,60.0,30.0,60.0,29,59,89,364,2,0,0,0.0,,,,,,,1,0,1,0,0.05,0,0,1,0,0,1,0,Queens
100%,44%,1.0,1.0,t,Sunnyside,40.7446,-73.91886,2,1.0,1.0,$89.00 ,3,999,3.0,3.0,999.0,999.0,3.0,999.0,2,26,56,331,15,0,0,4.79,4.86,4.71,4.85,4.86,4.92,4.85,1,0,1,0,0.25,1,1,1,0,0,1,0,Queens
100%,96%,34.0,34.0,t,Upper East Side,40.76134,-73.96111,4,2.0,3.0,$165.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,3,33,63,338,16,2,0,4.44,4.81,4.38,5.0,4.94,4.56,4.38,34,30,4,0,0.2,0,1,1,0,0,0,0,Manhattan
60%,0%,1.0,1.0,t,Mount Hope,40.84972,-73.90408,2,1.0,1.0,$40.00 ,14,1125,14.0,14.0,1125.0,1125.0,14.0,1125.0,20,50,80,355,5,0,0,4.4,5.0,4.4,4.8,4.8,4.2,4.6,1,0,1,0,0.08,0,1,1,0,0,1,0,Bronx
100%,96%,34.0,34.0,t,Upper West Side,40.78236,-73.98409,4,2.0,3.0,$270.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,4,34,64,339,18,2,1,4.72,5.0,4.65,4.71,4.76,4.94,4.35,34,30,4,0,0.22,0,1,1,0,0,0,0,Manhattan
100%,96%,34.0,34.0,t,Upper West Side,40.78238,-73.98422,3,1.0,2.0,$140.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,29,59,334,15,2,0,4.6,4.8,4.73,5.0,4.8,5.0,4.67,34,30,4,0,0.19,0,1,1,0,0,0,0,Manhattan
0%,0%,0.0,0.0,t,Kensington,40.64586,-73.97511,2,1.0,1.0,$86.00 ,2,90,2.0,2.0,90.0,90.0,2.0,90.0,17,43,73,348,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.05,0,1,1,0,0,0,0,Brooklyn
100%,75%,3.0,3.0,t,Bedford-Stuyvesant,40.683,-73.93635,4,2.0,1.0,$89.00 ,90,180,30.0,30.0,180.0,180.0,30.0,180.0,5,19,49,49,25,1,0,4.52,4.5,4.63,4.75,4.52,4.6,4.52,3,2,1,0,0.35,1,1,1,0,0,0,0,Brooklyn
83%,61%,5.0,5.0,t,Upper West Side,40.78378,-73.97624,5,1.0,4.0,$135.00 ,30,90,30.0,30.0,90.0,90.0,30.0,90.0,2,32,62,242,230,4,0,4.6,4.74,4.38,4.76,4.71,4.96,4.67,5,4,1,0,3.61,0,1,1,0,0,0,0,Manhattan
40%,9%,1.0,1.0,t,Inwood,40.86347,-73.92624,6,1.0,1.0,$150.00 ,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,5,27,57,332,4,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.07,0,1,1,0,0,0,0,Manhattan
100%,96%,34.0,34.0,t,Upper West Side,40.78337,-73.98347,4,2.0,3.0,$250.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,13,43,73,348,22,2,0,4.81,4.86,4.76,4.95,5.0,4.9,4.67,34,30,4,0,0.27,0,1,1,0,0,0,0,Manhattan
93%,60%,3.0,3.0,t,Bedford-Stuyvesant,40.68751,-73.922,2,1.0,1.0,$65.00 ,5,28,5.0,5.0,28.0,28.0,5.0,28.0,27,45,75,75,52,15,0,4.67,4.78,4.39,4.82,4.78,4.54,4.62,3,0,3,0,10.13,0,0,1,0,0,1,0,Brooklyn
88%,100%,2.0,2.0,t,Hell's Kitchen,40.7629,-73.98857,2,1.0,1.0,$129.00 ,1,90,1.0,2.0,1125.0,1125.0,1.3,1125.0,9,17,42,192,360,12,2,4.82,4.9,4.7,4.93,4.94,4.94,4.8,2,1,1,0,4.41,1,1,1,1,0,1,0,Manhattan
100%,98%,2.0,2.0,t,East Harlem,40.80139,-73.93985,2,1.0,1.0,$65.00 ,2,365,2.0,2.0,1125.0,1125.0,2.0,1125.0,6,8,37,37,49,8,0,4.82,4.77,4.63,4.75,4.94,4.5,4.71,3,0,3,0,0.7,0,0,1,1,0,1,0,Manhattan
93%,60%,3.0,3.0,t,Bedford-Stuyvesant,40.6891,-73.92347,2,1.0,1.0,$63.00 ,5,28,5.0,5.0,28.0,28.0,5.0,28.0,26,47,77,77,56,15,1,4.48,4.64,4.29,4.73,4.66,4.61,4.54,3,0,3,0,1.57,0,0,1,0,0,1,0,Brooklyn
93%,60%,3.0,3.0,t,Bedford-Stuyvesant,40.68767,-73.92283,2,1.0,1.0,$62.00 ,4,28,4.0,4.0,28.0,28.0,4.0,28.0,28,58,88,88,10,10,0,4.7,4.7,4.2,4.8,4.9,4.7,4.6,3,0,3,0,1.16,0,0,1,0,0,1,0,Brooklyn
94%,82%,0.0,0.0,t,Lower East Side,40.7191,-73.9834,4,2.0,2.0,$270.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,2,3,33,301,35,8,4,4.94,4.8,4.74,4.97,4.94,4.74,4.54,3,1,2,0,0.53,0,1,1,0,0,0,0,Manhattan
100%,94%,1.0,1.0,t,Greenpoint,40.73283,-73.95617,2,1.0,1.0,$201.00 ,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,6,17,29,262,51,11,0,4.98,4.96,5.0,4.8,4.98,4.92,4.73,1,1,0,0,0.68,1,1,1,0,0,0,0,Brooklyn
97%,37%,7.0,7.0,t,Hell's Kitchen,40.76555,-73.9945,2,1.0,1.0,$80.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,30,60,90,365,5,0,0,3.5,1.5,3.0,3.5,4.5,4.5,4.0,8,8,0,0,0.08,0,1,1,0,0,0,0,Manhattan
0%,,0.0,0.0,t,Crown Heights,40.66687,-73.95023,5,1.0,3.0,$275.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,180,59,0,0,4.92,4.86,4.81,4.96,4.92,4.81,4.82,1,0,1,0,0.96,0,1,1,1,0,1,0,Brooklyn
100%,100%,1.0,1.0,t,Bayside,40.75715,-73.77461,4,1.0,2.0,$85.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0,6,36,126,218,47,3,4.66,4.74,4.67,4.89,4.84,4.71,4.71,1,1,0,0,4.38,0,1,1,0,0,0,0,Queens
33%,25%,1.0,1.0,t,Chinatown,40.71535,-73.99027,2,1.0,,$165.00 ,30,35,30.0,30.0,35.0,35.0,30.0,35.0,3,17,33,33,43,1,0,4.65,4.8,4.78,4.73,4.88,4.83,4.5,1,1,0,0,0.58,0,1,1,0,0,0,0,Manhattan
100%,95%,19.0,19.0,t,East Village,40.72304,-73.97674,3,1.0,3.0,$105.00 ,90,400,90.0,90.0,400.0,400.0,90.0,400.0,17,47,77,352,7,0,0,4.29,4.86,4.43,5.0,4.86,4.71,4.86,20,20,0,0,0.09,0,1,1,0,0,0,0,Manhattan
100%,85%,7.0,7.0,t,Eastchester,40.87893,-73.83413,5,2.0,2.0,$150.00 ,2,28,2.0,2.0,28.0,28.0,2.0,28.0,4,26,52,327,21,6,2,4.9,4.9,4.95,5.0,5.0,4.71,4.76,6,6,0,0,0.32,1,0,1,0,0,0,0,Bronx
100%,85%,7.0,7.0,t,Eastchester,40.881,-73.83511,7,3.0,4.0,$231.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,3,26,56,331,21,3,0,4.52,4.52,4.86,4.67,4.81,4.52,4.57,6,6,0,0,0.5,1,0,1,0,0,0,0,Bronx
100%,,2.0,2.0,t,Long Island City,40.75379,-73.9368,3,1.0,2.0,$65.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,0,1,1,0.03,0,1,1,0,0,0,1,Queens
100%,100%,2.0,2.0,t,Bedford-Stuyvesant,40.68232,-73.93792,2,1.0,2.0,$73.00 ,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,5,11,20,190,100,26,4,4.9,4.96,4.79,4.97,4.96,4.79,4.84,2,1,1,0,2.1,1,0,1,1,0,1,0,Brooklyn
100%,92%,2.0,2.0,t,Harlem,40.81141,-73.93975,4,1.0,1.0,$147.00 ,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,10,27,57,329,98,20,1,4.87,4.96,4.92,4.91,4.9,4.79,4.82,2,2,0,0,1.27,0,1,1,0,0,0,0,Manhattan
80%,43%,3.0,3.0,t,Crown Heights,40.674,-73.95531,2,1.0,1.0,$82.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,17,47,77,352,39,0,0,4.85,4.9,4.85,4.95,4.95,4.77,4.74,3,0,3,0,0.63,1,0,1,0,0,1,0,Brooklyn
0%,,1.0,1.0,t,Astoria,40.76523,-73.92812,2,1.0,2.0,$100.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,29,59,89,364,51,0,0,4.86,4.94,4.92,4.88,4.92,4.82,4.8,1,0,1,0,0.81,0,0,1,0,0,1,0,Queens
100%,100%,2.0,2.0,t,Greenpoint,40.7299,-73.95143,2,1.0,1.0,$100.00 ,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,1,0,0.01,0,1,1,0,0,1,0,Brooklyn
100%,71%,2.0,2.0,t,Upper East Side,40.77395,-73.95153,2,1.0,2.0,$89.00 ,30,1124,30.0,30.0,1125.0,1125.0,30.0,1125.0,1,1,1,217,97,3,0,4.36,4.6,4.53,4.52,4.79,4.81,4.56,1,1,0,0,1.3,0,1,1,0,0,0,0,Manhattan
0%,0%,1.0,1.0,t,Park Slope,40.67438,-73.97541,1,1.0,1.0,$110.00 ,30,150,30.0,30.0,150.0,150.0,30.0,150.0,28,58,88,363,9,0,0,4.56,4.67,4.11,4.67,4.67,4.89,4.67,1,0,1,0,0.12,0,0,1,0,0,1,0,Brooklyn
80%,50%,2.0,2.0,t,East Harlem,40.79706,-73.94769,4,2.0,2.0,$225.00 ,30,180,30.0,30.0,180.0,180.0,30.0,180.0,12,42,72,215,6,0,0,4.67,5.0,4.0,5.0,4.83,4.33,4.33,1,1,0,0,0.15,1,1,1,0,0,0,0,Manhattan
100%,96%,34.0,34.0,t,Upper West Side,40.78236,-73.98425,4,2.0,3.0,$255.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,29,59,89,364,16,2,0,4.8,4.87,4.87,4.87,4.87,4.86,4.4,34,30,4,0,0.24,0,1,1,0,0,0,0,Manhattan
100%,96%,34.0,34.0,t,Upper West Side,40.78236,-73.98412,3,,2.0,$110.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,172,21,3,0,4.76,4.76,4.52,5.0,4.86,5.0,4.67,34,30,4,0,0.27,0,1,1,0,0,0,0,Manhattan
100%,97%,3.0,3.0,t,Lower East Side,40.71785,-73.99019,2,1.0,1.0,$200.00 ,4,7,4.0,7.0,7.0,7.0,4.1,7.0,23,48,76,345,56,15,1,4.84,4.88,4.77,4.73,4.95,4.95,4.75,3,1,2,0,1.32,1,0,1,0,0,1,0,Manhattan
100%,87%,0.0,0.0,t,Bushwick,40.69594,-73.92706,5,2.0,3.0,$133.00 ,4,180,4.0,4.0,180.0,180.0,4.0,180.0,12,20,20,20,18,18,3,5.0,5.0,5.0,5.0,5.0,4.94,4.94,1,1,0,0,2.71,1,1,1,0,0,0,0,Brooklyn
100%,50%,3.0,3.0,t,East Village,40.73333,-73.9905,4,1.0,3.0,$112.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,28,58,333,20,0,0,4.74,4.63,4.37,4.84,4.95,5.0,4.63,2,0,2,0,0.27,0,1,1,0,0,1,0,Manhattan
100%,96%,34.0,34.0,t,Upper East Side,40.76122,-73.96103,4,2.0,2.0,$205.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,4,34,64,338,18,1,0,4.67,4.83,4.78,4.83,4.94,4.56,4.5,34,30,4,0,0.23,0,1,1,0,0,0,0,Manhattan
88%,90%,4.0,4.0,t,Kensington,40.63957,-73.97163,1,1.0,1.0,$50.00 ,30,40,30.0,30.0,40.0,40.0,30.0,40.0,0,18,48,323,44,0,0,4.74,4.93,4.67,4.95,4.81,4.63,4.78,3,0,3,0,0.71,0,0,1,0,0,1,0,Brooklyn
100%,96%,34.0,34.0,t,Upper West Side,40.78236,-73.98425,4,2.0,3.0,$195.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,2,15,15,290,23,5,0,4.78,4.74,4.74,5.0,4.96,5.0,4.48,34,30,4,0,0.4,0,1,1,0,0,0,0,Manhattan
100%,76%,43.0,43.0,t,Upper East Side,40.78248,-73.94643,3,,2.0,$99.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,3,5,35,232,18,4,0,4.83,4.61,4.67,4.78,5.0,4.94,4.5,44,42,2,0,0.57,0,1,1,0,0,0,0,Manhattan
100%,79%,2.0,2.0,t,Bay Terrace,40.78797,-73.7804,1,1.0,1.0,$99.00 ,3,30,3.0,3.0,30.0,30.0,3.0,30.0,0,0,0,0,5,1,0,4.8,4.8,5.0,5.0,4.8,4.6,4.4,2,0,2,0,0.07,1,1,1,0,0,1,0,Queens
80%,47%,2.0,2.0,t,Flatbush,40.64802,-73.95608,3,1.0,1.0,$85.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,5,80,66,0,0,4.51,4.81,4.45,4.84,4.92,4.24,4.59,2,2,0,0,0.82,0,1,1,0,0,0,0,Brooklyn
100%,100%,2.0,2.0,t,Long Island City,40.76024,-73.92986,2,1.0,1.0,$110.00 ,30,200,30.0,30.0,200.0,200.0,30.0,200.0,0,9,14,48,46,2,0,4.95,4.98,4.89,5.0,5.0,4.88,4.86,1,1,0,0,0.58,1,1,1,0,0,0,0,Queens
100%,98%,2.0,2.0,t,East Harlem,40.80581,-73.94234,4,1.0,2.0,$135.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,10,14,42,125,204,35,5,4.66,4.8,4.67,4.93,4.93,4.65,4.7,2,2,0,0,3.44,1,1,1,0,0,0,0,Manhattan
100%,100%,1.0,1.0,t,SoHo,40.72505,-74.00126,6,2.0,2.0,$800.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,16,16,43,318,58,2,0,4.95,5.0,4.98,4.97,5.0,5.0,4.72,1,1,0,0,0.73,1,1,1,0,0,0,0,Manhattan
20%,7%,1.0,1.0,t,Harlem,40.82837,-73.94757,1,2.0,2.0,$65.00 ,2,30,2.0,2.0,30.0,30.0,2.0,30.0,4,15,34,124,30,1,0,4.9,4.9,4.9,4.93,4.83,4.69,4.86,1,0,1,0,0.48,0,0,1,0,0,1,0,Manhattan
100%,88%,1.0,1.0,t,Long Island City,40.74425,-73.94953,2,1.0,1.0,$128.00 ,30,730,30.0,30.0,730.0,730.0,30.0,730.0,0,0,18,188,11,3,0,5.0,5.0,4.64,4.91,5.0,5.0,4.45,1,1,0,0,0.14,1,0,1,0,0,0,0,Queens
100%,98%,2.0,2.0,t,Hell's Kitchen,40.76194,-73.99124,2,1.0,1.0,$195.00 ,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,0,0,3,69,134,12,4,4.87,4.83,4.86,4.98,4.98,4.95,4.82,2,2,0,0,1.69,1,0,1,0,0,0,0,Manhattan
98%,50%,50.0,50.0,t,Far Rockaway,40.59621,-73.75413,2,1.0,1.0,$38.00 ,6,1125,6.0,6.0,1125.0,1125.0,6.0,1125.0,0,0,0,27,10,3,0,5.0,4.9,4.9,5.0,4.8,4.6,4.9,51,0,51,0,0.14,1,1,1,0,0,1,0,Queens
100%,100%,4.0,4.0,t,Harlem,40.82197,-73.946,3,1.0,1.0,$65.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,1,1,1,156,266,8,0,4.62,4.76,4.67,4.77,4.65,4.78,4.79,4,1,3,0,3.37,0,1,1,1,0,1,0,Manhattan
100%,100%,4.0,4.0,t,Harlem,40.82347,-73.94651,3,1.0,1.0,$55.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,0,0,155,247,10,0,4.46,4.67,4.52,4.65,4.5,4.71,4.57,4,1,3,0,3.17,0,1,1,1,0,1,0,Manhattan
71%,0%,4.0,4.0,t,Sheepshead Bay,40.59858,-73.95817,2,1.0,1.0,$110.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,3,0,0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,4,2,2,0,0.04,0,1,1,0,0,1,0,Brooklyn
100%,76%,43.0,43.0,t,Upper East Side,40.77504,-73.95357,3,,2.0,$99.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,5,5,218,18,0,0,4.78,4.67,4.67,4.89,5.0,4.94,4.33,44,42,2,0,0.38,0,1,1,0,0,0,0,Manhattan
100%,78%,4.0,4.0,t,East New York,40.66836,-73.89257,2,1.0,,$100.00 ,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,10,21,47,322,33,28,5,4.73,4.79,4.76,4.91,4.73,4.58,4.76,1,1,0,0,30.0,1,0,1,0,0,0,0,Brooklyn
100%,100%,1.0,1.0,t,Mariners Harbor,40.62914,-74.15927,6,3.0,4.0,$150.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,24,47,77,352,24,2,0,4.79,4.75,4.83,4.92,4.88,4.33,4.79,1,1,0,0,0.33,1,1,1,1,0,0,0,Staten Island
92%,92%,31.0,31.0,t,Upper East Side,40.75966,-73.96124,4,1.0,2.0,$140.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,0,27,302,11,0,0,4.55,4.45,4.73,4.91,4.91,4.64,4.0,32,32,0,0,0.15,0,1,1,0,0,0,0,Manhattan
100%,95%,4.0,4.0,t,Ditmars Steinway,40.77727,-73.91761,2,1.0,1.0,$35.00 ,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,4,30,60,335,131,18,4,4.52,4.75,4.77,4.71,4.73,4.74,4.64,4,0,4,0,2.19,0,1,1,1,0,1,0,Queens
100%,0%,2.0,2.0,t,Prospect Heights,40.68215,-73.97189,2,1.0,1.0,$135.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,90,80,0,0,4.96,4.95,4.96,4.98,4.96,4.93,4.86,2,1,1,0,1.09,1,1,1,0,0,1,0,Brooklyn
100%,100%,1.0,1.0,t,Upper East Side,40.77607,-73.94802,2,1.0,1.0,$60.00 ,30,45,30.0,30.0,1125.0,1125.0,30.0,1125.0,11,11,11,11,43,2,0,4.51,4.75,3.92,4.98,4.98,4.93,4.56,1,1,0,0,0.69,0,1,1,1,0,0,0,Manhattan
100%,82%,3.0,3.0,t,Red Hook,40.66503,-74.01295,2,1.0,1.0,$52.00 ,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,3,18,46,321,80,9,0,4.73,4.75,4.63,4.94,4.92,4.77,4.77,3,1,2,0,1.59,1,1,1,0,0,1,0,Brooklyn
100%,82%,3.0,3.0,t,Columbia St,40.68114,-74.00424,2,1.0,1.0,$65.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,2,32,62,337,139,2,0,4.78,4.86,4.65,4.97,4.94,4.72,4.85,3,1,2,0,2.19,1,1,1,0,0,1,0,Brooklyn
92%,92%,31.0,31.0,t,West Village,40.73205,-74.0064,5,2.0,3.0,$250.00 ,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,21,51,326,3,0,0,2.0,2.5,2.5,2.5,1.5,4.5,1.5,32,32,0,0,0.04,0,1,1,0,0,0,0,Manhattan
100%,75%,4.0,4.0,t,East Flatbush,40.65514,-73.91992,4,2.0,3.0,$139.00 ,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,12,42,72,347,88,1,1,4.86,4.88,4.85,4.95,4.94,4.48,4.79,2,2,0,0,1.35,0,0,1,0,0,0,0,Brooklyn
100%,88%,2.0,2.0,t,Fort Greene,40.68485,-73.96854,1,1.0,1.0,$50.00 ,21,120,21.0,21.0,120.0,120.0,21.0,120.0,0,10,15,107,20,1,0,5.0,4.95,4.85,5.0,5.0,5.0,4.95,2,0,2,0,0.25,1,1,1,0,0,1,0,Brooklyn
94%,99%,52.0,52.0,t,Greenpoint,40.72558,-73.94208,3,,1.0,$109.00 ,30,180,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,1,276,9,1,0,5.0,5.0,5.0,5.0,5.0,4.78,4.78,46,45,0,0,0.11,0,1,1,0,0,0,0,Brooklyn
